world_cup_year,backtest_stage,diagnostic_dimension,diagnostic_value,matches,outcome_accuracy,outcome_log_loss,outcome_brier,avg_top_probability,avg_actual_outcome_probability,upset_rate,high_confidence_miss_rate
2018,all,confederation_pair,CONMEBOL_vs_UEFA,13,0.46153846153846156,1.1628446520853153,0.7194486001615524,0.4916196000449267,0.33944079414278405,0.5384615384615384,0.15384615384615385
2018,all,confederation_pair,UEFA_vs_UEFA,15,0.4,1.0351002694290128,0.6261220131204835,0.4634927860816138,0.37098240284588296,0.6,0.0
2018,all,favorite_matchup_profile,AFC_favorite_vs_CAF,1,1.0,0.8310915856638655,0.478042939828334,0.4355735608666294,0.4355735608666294,0.0,0.0
2018,all,favorite_matchup_profile,CAF_favorite_vs_AFC,2,0.0,1.2474130208103624,0.7639561651084221,0.40169444198903775,0.29037826924783183,1.0,0.0
2018,all,favorite_matchup_profile,CAF_favorite_vs_UEFA,1,1.0,0.9145995755140444,0.5472809118618984,0.4006770348685958,0.4006770348685958,0.0,0.0
2018,all,favorite_matchup_profile,CONCACAF_favorite_vs_AFC,1,1.0,0.6785990609618657,0.36779401219808644,0.507327229270719,0.507327229270719,0.0,0.0
2018,all,favorite_matchup_profile,CONCACAF_favorite_vs_CAF,1,0.0,1.2384843135713894,0.8020368383598641,0.505936246740505,0.2898231662407937,1.0,0.0
2018,all,favorite_matchup_profile,CONCACAF_favorite_vs_UEFA,2,0.0,1.1663688884373808,0.7185074084800886,0.415601857807181,0.31501213016163226,1.0,0.0
2018,all,favorite_matchup_profile,CONMEBOL_favorite_vs_AFC,3,0.6666666666666666,0.940516415386457,0.5371303140969771,0.6120346171816189,0.4628505592340235,0.3333333333333333,0.3333333333333333
2018,all,favorite_matchup_profile,CONMEBOL_favorite_vs_CAF,3,1.0,0.5644911496754076,0.2804365956344694,0.5708182713283984,0.5708182713283984,0.0,0.0
2018,all,favorite_matchup_profile,CONMEBOL_favorite_vs_CONCACAF,2,1.0,0.31393479395527724,0.11597947593024034,0.7330363088606695,0.7330363088606695,0.0,0.0
